INDNIPPON,2024-08-16,769,769,746.55,757.65,24006
IEL,2024-08-16,11.1,11.34,10.85,10.89,170274
PVP,2024-08-16,26.5,27,25.5,26.62,131295
CYIENT,2024-08-16,1750.55,1790.7,1748.05,1785.25,382336
DSSL,2024-08-16,1460.85,1492,1400,1406.8,99464
ICICIPRULI,2024-08-16,711,722.5,702.65,720.05,2069373
KIRLOSENG,2024-08-16,1261.75,1285,1257.7,1269.9,666044
KITEX,2024-08-16,284,339.1,277,323.82,13772058
LAMBODHARA,2024-08-16,186.39,192.06,180.66,182.43,81380
SILVRETF,2024-08-16,81,81.45,81,81.43,15603
ROML,2024-08-16,53,53.67,52.52,53.31,8593
SAKSOFT,2024-08-16,282,285.25,280,283.1,98958
BAJEL,2024-08-16,269.6,272.3,267.6,270.05,173694
HCLTECH,2024-08-16,1635,1674,1632.7,1668.25,3101056
INFRAIETF,2024-08-16,93.23,93.99,92.46,93.82,57463
KANSAINER,2024-08-16,293.6,294.35,288.55,290.1,346139
PAYTM,2024-08-16,544,569.9,536.45,564.25,13134779
SECURKLOUD,2024-08-16,36.3,37.93,34.1,34.5,133673
UTINIFTETF,2024-08-16,266.2,266.6,262.41,265.61,410310
ALICON,2024-08-16,1308,1308,1266.05,1278,10139
AMDIND,2024-08-16,74.1,77,74,75.68,54226
KPIGREEN,2024-08-16,1002.2,1024,996,1001.2,390411
SIGACHI,2024-08-16,59.25,60.26,58.6,59.77,799870
BBETF0432,2024-08-16,1174.44,1174.45,1170,1171.92,1272
SADBHIN,2024-08-16,8.29,8.37,7.58,7.58,1498735
SANDESH,2024-08-16,1566,1628.95,1544.05,1597.25,3497
VASWANI,2024-08-16,50.01,52.01,49.58,51.26,193741
DATAMATICS,2024-08-16,560,573,560,569.6,55753
DBOL,2024-08-16,128,135,126.5,130.12,110910
EMUDHRA,2024-08-16,780,802.1,762,798.35,255419
HMAAGRO,2024-08-16,48.2,50,48,49.49,492205
RUCHIRA,2024-08-16,139.1,140.79,137.5,138.96,74188
SBIETFPB,2024-08-16,252.63,257.16,252.31,256.77,6676
SMSPHARMA,2024-08-16,281.1,297,277.6,292.7,237356
SOMICONVEY,2024-08-16,185,185,184.9,184.9,3289
MANINFRA,2024-08-16,186.8,192.85,186.8,189.63,585525
NITINSPIN,2024-08-16,417.5,428.5,410.7,417.2,119990
PIDILITIND,2024-08-16,3050,3062,3025.1,3057.35,238640
SRF,2024-08-16,2519.95,2519.95,2470.45,2481.2,445311
SWELECTES,2024-08-16,1007.85,1037.7,970.5,1022.15,74784
XELPMOC,2024-08-16,108.99,112.79,102.95,105.53,31072
ADVENZYMES,2024-08-16,428.3,433.65,419.9,428.7,222248
ASTERDM,2024-08-16,390.45,392.55,384.25,391.1,552637
AXISBANK,2024-08-16,1166.4,1170,1149.6,1166.85,6107134
BIRLACABLE,2024-08-16,258.45,261.7,255.05,259.75,67522
BURNPUR,2024-08-16,8.26,8.26,8.26,8.26,69027
EIHOTEL,2024-08-16,382.4,382.4,372,375.75,400448
GFLLIMITED,2024-08-16,73.4,75.6,72.65,74.97,62100
JSL,2024-08-16,699.1,706.95,683.35,701.35,2086559
LAXMICOT,2024-08-16,31.1,33.13,31.1,32.14,70973
MUKKA,2024-08-16,45.09,46,45,45.95,1089153
NBCC,2024-08-16,176.5,185.23,173.42,182.79,23843576
RML,2024-08-16,1009,1058,974.25,983,80944
SAMPANN,2024-08-16,29.8,32.45,29.63,31.85,62089
ZEEMEDIA,2024-08-16,13.29,13.37,13.12,13.16,1676224
AFFLE,2024-08-16,1529,1560.6,1515.15,1554.5,422200
NIFTYQLITY,2024-08-16,22.9,23.32,22.08,22.54,39779
HDFCMOMENT,2024-08-16,35.31,36.1,35.25,36.01,298618
SYMPHONY,2024-08-16,1689.8,1697.95,1658.45,1687.35,160294
BANARBEADS,2024-08-16,100.97,100.97,97,97.34,9598
BOROSCI,2024-08-16,185.65,193.87,185.65,190.44,159601
DJML,2024-08-16,104,104,104,104,17771
HONDAPOWER,2024-08-16,3635.8,3671.35,3586.2,3652.2,2853
LTIM,2024-08-16,5529.6,5600,5486.95,5563.75,445477
SPLPETRO,2024-08-16,843,860.9,826.15,859.1,48760
VADILALIND,2024-08-16,4072.2,4175,4017.2,4131.6,7420
ASAHISONG,2024-08-16,546,557.85,513.5,519.8,49017
EPACK,2024-08-16,239.95,240.7,231.6,233,563669
INDGN,2024-08-16,540,553.25,539.5,552.2,281850
INSECTICID,2024-08-16,878.1,902,860,890.2,99884
JBMA,2024-08-16,1915,1931.95,1894.15,1909.35,80515
MEGASTAR,2024-08-16,307.2,315,296.15,310.95,12709
INFRABEES,2024-08-16,941,950,935.17,949.43,8748
GILT5YBEES,2024-08-16,57.46,57.65,57.23,57.44,898879
BAJAJCON,2024-08-16,277.5,278,271.05,273.75,366506
GLS,2024-08-16,985.5,993,973.35,975.75,87990
GLOBE,2024-08-16,4.84,4.84,4.84,4.84,253120
GNA,2024-08-16,406.9,409.5,402.1,405.65,35959
HEXATRADEX,2024-08-16,264.8,268.4,243.29,246.83,51708
LICNETFN50,2024-08-16,263.25,269.7,262.75,269.51,1107
NRBBEARING,2024-08-16,302.1,314,301.15,312.1,101217
PAKKA,2024-08-16,302,313.7,295.45,309.7,263424
PPAP,2024-08-16,196.42,201.89,195,196.88,21230
BANKBARODA,2024-08-16,241.5,243.75,240.5,243.45,8039046
BFINVEST,2024-08-16,562.2,573.65,558.5,563,90755
BANKETFADD,2024-08-16,50.04,51.35,50.04,51.25,14593
ITETFADD,2024-08-16,40.77,41.71,39.8,41.58,32121
HEALTHADD,2024-08-16,138.55,139.68,138.55,139.68,42
HIL,2024-08-16,2689.55,2704.85,2645.5,2683.85,8193
PLATIND,2024-08-16,344.85,359.75,344.85,353.55,658223
SBC,2024-08-16,31.88,32.44,31.11,31.46,4109594
